snapped_at,price,market_cap,total_volume
2021-11-25 00:00:00 UTC,2.5908223647070696,0.0,29599172.273906507
2021-11-26 00:00:00 UTC,2.5908223647070696,0.0,29599172.273906507
2021-11-27 00:00:00 UTC,2.098027829322736,0.0,5513169.42093029
2021-11-28 00:00:00 UTC,1.818880659612215,0.0,1705686.4036462458
2021-11-29 00:00:00 UTC,1.615716432621631,0.0,1195281.1235911509
2021-11-30 00:00:00 UTC,2.0011232850626515,0.0,2820034.054100575
2021-12-01 00:00:00 UTC,1.9379916504822878,0.0,3024615.3448499925
2021-12-02 00:00:00 UTC,1.7440739912079768,0.0,1224196.711963358
2021-12-03 00:00:00 UTC,1.6913313327869512,0.0,1280420.200342005
2021-12-04 00:00:00 UTC,1.6817881697461161,0.0,1098229.1283034296
2021-12-05 00:00:00 UTC,1.5324742054992393,0.0,1158130.2336608286
2021-12-06 00:00:00 UTC,1.495885959496126,0.0,249181.81774492038
2021-12-07 00:00:00 UTC,1.5417547871734125,0.0,261291.78408741954
2021-12-08 00:00:00 UTC,1.539162971687591,0.0,344242.1993679965
2021-12-09 00:00:00 UTC,1.5191731393666081,0.0,194843.92812863848
2021-12-10 00:00:00 UTC,1.4982671515499362,0.0,245759.6160767307
2021-12-11 00:00:00 UTC,1.3788947832010732,0.0,450850.02172503923
2021-12-12 00:00:00 UTC,1.4000659630846612,0.0,157448.78367790702
2021-12-13 00:00:00 UTC,1.406800297968658,0.0,127895.88984372331
2021-12-14 00:00:00 UTC,1.3628129270016789,0.0,148465.89601309833
2021-12-15 00:00:00 UTC,1.3821637517349028,0.0,138881.24792094377
2021-12-16 00:00:00 UTC,1.390210849022146,0.0,172380.88357456945
2021-12-17 00:00:00 UTC,1.3744075502932964,0.0,166305.5577717753
2021-12-18 00:00:00 UTC,1.3720021108127087,0.0,108205.754511513
2021-12-19 00:00:00 UTC,1.3694946290756447,0.0,70843.46838598607
2021-12-20 00:00:00 UTC,1.3364951830661815,0.0,212834.59239972942
2021-12-21 00:00:00 UTC,1.282113710022798,0.0,188814.6961453596
2021-12-22 00:00:00 UTC,1.2787165634037096,0.0,131380.08810053195
2021-12-23 00:00:00 UTC,1.3259512919994925,0.0,282624.8052818885
2021-12-24 00:00:00 UTC,1.3469424806005956,0.0,106530.46835708518
2021-12-25 00:00:00 UTC,1.340143342097532,0.0,187016.56903147642
2021-12-26 00:00:00 UTC,1.3377618372575981,0.0,90581.1363650948
2021-12-27 00:00:00 UTC,1.3329141417912997,0.0,77440.75758067064
2021-12-28 00:00:00 UTC,1.3071847573433553,0.0,139628.56852510135
2021-12-29 00:00:00 UTC,1.286584097279949,0.0,82648.34663338467
2021-12-30 00:00:00 UTC,1.3040272737035976,0.0,149688.40985098807
2021-12-31 00:00:00 UTC,1.3034388075215184,0.0,59253.5838020897
2022-01-01 00:00:00 UTC,1.2969090067212303,0.0,74320.13487420518
2022-01-02 00:00:00 UTC,1.2888285930163,0.0,34440.22328888729
2022-01-03 00:00:00 UTC,1.2737820736635355,0.0,46901.283539564916
2022-01-04 00:00:00 UTC,1.255799259365999,0.0,63744.89986409703
2022-01-05 00:00:00 UTC,1.2171317350676196,0.0,72808.83211938162
2022-01-06 00:00:00 UTC,1.2205565244721202,0.0,108470.20040558997
2022-01-07 00:00:00 UTC,1.1419627105500505,0.0,102573.87056224536
2022-01-08 00:00:00 UTC,1.1088718113228428,0.0,88765.33127713364
2022-01-09 00:00:00 UTC,1.098301942043181,0.0,31345.660445063277
2022-01-10 00:00:00 UTC,1.1035259128856478,0.0,28992.023592652356
2022-01-11 00:00:00 UTC,1.1304992673757055,0.0,55056.21232117194
